X,Y,amenity,name,building,addr:city,addr:city:en,addr:country,addr:postcode,name:en,int_name,addr:street,website,wikidata,addr:housenumber,opening_hours,phone,tourism,email,wikipedia,description,name:de,theatre:genre,wheelchair,addr:housename,addr:street:en,alt_name,building:levels,fax,fee,layer,name:tr,name:zh,operator,roof:colour,studio
21.4368430615105,42.0031493855507,arts_centre,Куршумли Ан,yes,Cкoпje,Skopje,MK,1000,,Kursumli An,,,Q1273251,,,,museum,,,Concert venue,,,,,,,,,,,,,,,
21.43727285,42.0011289,arts_centre,Национална галерија на Македонија „Чифте-амам“,yes,Cкoпje,Skopje,MK,1000,Chifte Hammam National Gallery of Macedonia,Nacionalna Galerija na Makedonija - Čifte Amam,,http://nationalgallery.mk/,Q1271865,,Tu-Su 10:00-18:00,+389 2 3227986,museum,contact@nationalgallery.mk,en:Čifte Hammam,,,,,,,,,,,,çifte hamam,,,grey,
21.4383822972026,42.002164309001,theatre,Детски театарски центар,yes,,,,,,,Евлија Челебија,,,1,,,,,,,,,,,,,,,,,,,,,
21.4384845841765,42.0043859972125,arts_centre,Турски Театар,yes,Cкoпje,Skopje,MK,1000,,,Никола Мартиновски,,,41,,,,,,,,,,,,,,,,,,,,,
21.3954528632141,42.0050487504385,fountain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21.432951441908,42.0038866500438,arts_centre,Музеј на современата уметност,yes,Cкoпje,Skopje,MK,1000,Contemporary Art Museum of Macedonia,,Самоилова,http://www.msuskopje.org.mk/,Q3329592,,""Tu-Sa 10:00-15:00"
21.4296847009531,42.0066156312398,nightclub,Сектор 909,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4079851812152,42.0021872258582,theatre,Драмски Театар,yes,Cкoпje,Skopje,MK,1000,,,Шекспирова,,Q12906230,15,,,,,,,,,,,,,,,,,,,,,
21.4288562510575,42.0001038699378,fountain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4222714497301,42.0013749499955,nightclub,Џубокс,yes,Cкoпje,Skopje,MK,1000,Jukebox,,Орце Николов,,,99,22:00-04:00,,,,,,,,,Џубокс,,,,,,,,,,,
